Date,year,month,day,Nitrogen_Level,Method,NDVI_mean,NDVI_SE,NDVI_CL_lower,NDVI_CL_Upper,LAI_mean,LAI_SE,LAI_CL_lower,LAI_CL_upper
2020-06-27 22:00:00 UTC,2020,6,27,0,NDVI_sensor,0.79,0.00,0.78,0.80,1.07,,1.04,1.11
2020-07-12 22:00:00 UTC,2020,7,12,0,NDVI_sensor,0.48,0.01,0.46,0.50,0.31,,0.28,0.35
2020-07-22 22:00:00 UTC,2020,7,22,0,NDVI_sensor,0.27,0.00,0.25,0.30,0.08,,0.06,0.10
2020-04-15 22:00:00 UTC,2020,4,15,160,NDVI_sensor,0.19,0.00,0.18,0.19,0.00,,0.00,0.01
2020-05-08 22:00:00 UTC,2020,5,8,160,NDVI_sensor,0.52,0.02,0.49,0.56,0.38,,0.33,0.43
2020-05-15 22:00:00 UTC,2020,5,15,160,NDVI_sensor,0.77,0.01,0.75,0.80,1.00,,0.89,1.15
2020-05-21 22:00:00 UTC,2020,5,21,160,NDVI_sensor,0.88,0.01,0.86,0.89,1.91,,1.69,2.29
2020-05-29 22:00:00 UTC,2020,5,29,160,NDVI_sensor,0.92,0.00,0.92,0.93,,,,
2020-06-07 22:00:00 UTC,2020,6,7,160,NDVI_sensor,0.91,0.00,0.91,0.92,,,,
2020-06-13 22:00:00 UTC,2020,6,13,160,NDVI_sensor,0.91,0.00,0.91,0.92,,,,
2020-06-27 22:00:00 UTC,2020,6,27,160,NDVI_sensor,0.90,0.00,0.89,0.91,3.04,,2.48,
2020-07-12 22:00:00 UTC,2020,7,12,160,NDVI_sensor,0.63,0.01,0.61,0.66,0.58,,0.53,0.63
2020-07-22 22:00:00 UTC,2020,7,22,160,NDVI_sensor,0.35,0.01,0.33,0.38,0.16,,0.13,0.18
2019-05-12 22:00:00 UTC,2019,5,12,0,Plant_sample,,,,,1.17,0.16,0.66,1.68
2019-05-29 22:00:00 UTC,2019,5,29,0,Plant_sample,,,,,2.47,0.39,1.27,3.66
2019-06-12 22:00:00 UTC,2019,6,12,0,Plant_sample,,,,,4.47,0.60,2.48,6.45
2019-05-12 22:00:00 UTC,2019,5,12,160,Plant_sample,,,,,1.41,0.31,0.90,1.92
2019-05-29 22:00:00 UTC,2019,5,29,160,Plant_sample,,,,,6.48,0.67,5.29,7.68
2019-06-12 22:00:00 UTC,2019,6,12,160,Plant_sample,,,,,7.38,0.70,5.40,9.36
2020-05-02 22:00:00 UTC,2020,5,2,0,Plant_sample,,,,,0.21,0.04,,
2020-05-09 22:00:00 UTC,2020,5,9,0,Plant_sample,,,,,0.41,0.04,0.29,0.53
2020-05-16 22:00:00 UTC,2020,5,16,0,Plant_sample,,,,,1.48,0.13,1.06,1.90
2020-05-22 22:00:00 UTC,2020,5,22,0,Plant_sample,,,,,1.84,0.26,0.99,2.68
2020-05-30 22:00:00 UTC,2020,5,30,0,Plant_sample,,,,,3.46,0.52,1.94,4.98
2020-05-09 21:59:59 UTC,2020,5,9,160,Plant_sample,,,,,0.51,0.04,0.39,0.63
2020-05-22 21:59:59 UTC,2020,5,22,160,Plant_sample,,,,,2.77,0.15,2.28,3.26
2020-06-14 21:59:59 UTC,2020,6,14,160,Plant_sample,,,,,7.32,0.52,5.80,8.84
